id,timeTaken,createdAt,judgeId,chosen,notChosen,task,person_chosen,person_not_chosen
2111e15d-31d2-4cd8-a908-fb36fea32b83,9120,2020-01-26 13:02:48,9d6a8938-073c-4c58-ae45-ac28f3220d03,HSY7UV,MRQA6D,APW 2019-2020 Year 1 Jan,250b6b3f-f238-4d1a-b838-ec984ffec562,8dbcbbc7-36d8-4f33-8c17-1b2cdc52c9e7
0c42e3e2-a42a-4769-a41e-94e206f6d8e6,21212,2020-01-26 13:03:09,9d6a8938-073c-4c58-ae45-ac28f3220d03,7ZXPX6,LGZERS,APW 2019-2020 Year 1 Jan,ffabcf41-174c-4012-9b00-09e5292f6836,e5bb04b1-9a68-4f9e-963a-afd46e988e26
84f0d7a1-6f73-49a8-8338-3bd986a970d4,12227,2020-01-26 13:03:25,9d6a8938-073c-4c58-ae45-ac28f3220d03,6JMSDD,KPYHFU,APW 2019-2020 Year 1 Jan,76759fbe-9bad-4306-b0c5-3c9b7755290e,eb9b6432-a61d-4e2d-8258-2efdc11dc63f
4f087a7b-7499-47af-87cc-f95804538b48,20549,2020-01-26 13:03:46,9d6a8938-073c-4c58-ae45-ac28f3220d03,6JMSDD,E6PCQC,APW 2019-2020 Year 1 Jan,76759fbe-9bad-4306-b0c5-3c9b7755290e,2bcd5879-d964-4240-8552-f0ea66ed52c6
4750535f-a15b-46cf-a2e8-e353a9a4efcb,23145,2020-01-26 13:04:19,9d6a8938-073c-4c58-ae45-ac28f3220d03,5DYYS5,LGZERS,APW 2019-2020 Year 1 Jan,a07e8730-bc2c-4685-8c54-c08c8a53d30e,e5bb04b1-9a68-4f9e-963a-afd46e988e26
93c4ae81-aac0-4afd-99a9-37f01ce72adc,8580,2020-01-26 13:04:28,9d6a8938-073c-4c58-ae45-ac28f3220d03,6XZEPZ,PKWQQE,APW 2019-2020 Year 1 Jan,bd2733be-c551-4d64-8bfd-c48b53f279b8,0dccf366-ba0e-4d7b-90ce-75d22fbcc55c
51f7600c-1026-4a2e-80bd-7ee6fd4e0c72,14628,2020-01-26 13:04:50,9d6a8938-073c-4c58-ae45-ac28f3220d03,7ZXPX6,SVNH2Z,APW 2019-2020 Year 1 Jan,ffabcf41-174c-4012-9b00-09e5292f6836,df58c2fb-addf-4c30-b5b4-82b9aefb06df
827850ba-b5ae-40d8-abc7-b472e8ad4586,44663,2020-01-26 13:05:35,9d6a8938-073c-4c58-ae45-ac28f3220d03,2TXACE,7VRQAP,APW 2019-2020 Year 1 Jan,9a3e0b9d-2799-4190-9c33-24ffdb5f398e,36e05161-6b4f-4f9a-973b-30f8bf6033ee
8e0cedc5-51e2-4972-be30-9e66b1f6fd65,11676,2020-01-26 13:05:53,9d6a8938-073c-4c58-ae45-ac28f3220d03,JUWP9J,SVNH2Z,APW 2019-2020 Year 1 Jan,6e117350-ca4a-4ff8-9b37-cf4ff1b2ae18,df58c2fb-addf-4c30-b5b4-82b9aefb06df
6287cf34-1c77-41d5-bbd7-8c621517e4d1,18554,2020-01-26 13:06:12,9d6a8938-073c-4c58-ae45-ac28f3220d03,JMJV2G,2TXACE,APW 2019-2020 Year 1 Jan,ddf044b7-cea8-45fe-a9b5-5cee77194e56,9a3e0b9d-2799-4190-9c33-24ffdb5f398e
901b04be-03db-4167-a1ca-80031b55569a,7674,2020-01-26 13:06:29,9d6a8938-073c-4c58-ae45-ac28f3220d03,PCQMJF,PKWQQE,APW 2019-2020 Year 1 Jan,dbf15b28-c563-4ff5-80c4-dd173a929070,0dccf366-ba0e-4d7b-90ce-75d22fbcc55c
22ae3d34-88ef-4d3e-a5ae-07fa37608cda,6047,2020-01-26 13:06:35,9d6a8938-073c-4c58-ae45-ac28f3220d03,6XZEPZ,EXHZBR,APW 2019-2020 Year 1 Jan,bd2733be-c551-4d64-8bfd-c48b53f279b8,f34aab5d-f7e4-46c9-b75c-4479a062078a
c7f36e47-5c7f-4db1-ac6e-09179ddd7953,9422,2020-01-26 13:06:56,9d6a8938-073c-4c58-ae45-ac28f3220d03,MNKSCR,7MNZKD,APW 2019-2020 Year 1 Jan,819a77ea-8ce4-4b9f-909c-f7b5cffcf5c5,ee93981f-e825-42a0-902d-850d7da8dd06
823ee1ee-a338-42df-9186-86adfd3b33cc,6159,2020-01-26 13:07:02,9d6a8938-073c-4c58-ae45-ac28f3220d03,R6HJ6N,6JMSDD,APW 2019-2020 Year 1 Jan,fd0ac4b9-4803-4b7f-8a8d-cf652fe6d45f,76759fbe-9bad-4306-b0c5-3c9b7755290e
d3ad57da-0c12-4ae2-ba58-dff6dfd2d134,25512,2020-01-26 13:07:32,9d6a8938-073c-4c58-ae45-ac28f3220d03,WNC7NY,QVYPKF,APW 2019-2020 Year 1 Jan,5aef5817-4ea4-4f7a-9dff-ab42f0d86019,c4e2ddec-c499-43b7-a687-a553c3432aa4
85eae3db-9b72-4e15-a396-e7e19280d310,2326,2020-01-26 13:07:35,9d6a8938-073c-4c58-ae45-ac28f3220d03,6XZEPZ,KZR3QS,APW 2019-2020 Year 1 Jan,bd2733be-c551-4d64-8bfd-c48b53f279b8,07f7cd8f-2445-483e-9e38-7c963f47adfb
e4e482af-bddd-4a00-9064-c58ca2daa3e3,21826,2020-01-26 13:08:05,9d6a8938-073c-4c58-ae45-ac28f3220d03,PCQMJF,KXAVJW,APW 2019-2020 Year 1 Jan,dbf15b28-c563-4ff5-80c4-dd173a929070,bf62658c-2fbb-4ed2-854a-0bd24aeffde8
99ea4faf-2428-4eb1-b872-b43001062bb4,14156,2020-01-26 13:08:19,9d6a8938-073c-4c58-ae45-ac28f3220d03,JUWP9J,UDPFJS,APW 2019-2020 Year 1 Jan,6e117350-ca4a-4ff8-9b37-cf4ff1b2ae18,abf1b79b-0c8b-40ba-8aba-cb9f1a05d59d
dd553daf-a3f2-4b92-81ab-7bf651845633,2257,2020-01-26 13:08:23,9d6a8938-073c-4c58-ae45-ac28f3220d03,RXV7EX,X6BE3U,APW 2019-2020 Year 1 Jan,d0caf98e-4199-4d4b-9a26-683b8ef25415,707a2b8f-98c1-49fa-85d8-dabee5a188ba
e69aff37-ae13-40d8-83c6-3a2bda9823a5,7523,2020-01-27 21:23:08,2904382f-bccc-4ad6-87a1-d7f3748e4574,THSYDM,7MNZKD,APW 2019-2020 Year 1 Jan,fcbcbc98-c2a3-480a-9c94-0866e40b91ce,ee93981f-e825-42a0-902d-850d7da8dd06
fcd61ff2-7be6-4777-b790-140ac75fc3f8,14464,2020-01-27 21:23:23,2904382f-bccc-4ad6-87a1-d7f3748e4574,WPQZYR,PKWQQE,APW 2019-2020 Year 1 Jan,38ab8d98-236a-49d8-86ab-59fac2f2f7a2,0dccf366-ba0e-4d7b-90ce-75d22fbcc55c
865b5863-b4bc-4412-a363-28d69e735595,3609,2020-01-27 21:23:40,2904382f-bccc-4ad6-87a1-d7f3748e4574,R6HJ6N,MRQA6D,APW 2019-2020 Year 1 Jan,fd0ac4b9-4803-4b7f-8a8d-cf652fe6d45f,8dbcbbc7-36d8-4f33-8c17-1b2cdc52c9e7
dc708854-8b21-41d7-9467-e93fc85da6f6,6150,2020-01-27 21:23:46,2904382f-bccc-4ad6-87a1-d7f3748e4574,R6HJ6N,E6PCQC,APW 2019-2020 Year 1 Jan,fd0ac4b9-4803-4b7f-8a8d-cf652fe6d45f,2bcd5879-d964-4240-8552-f0ea66ed52c6
fb804aad-f241-4454-bf09-2cca18506020,17126,2020-01-27 21:24:54,2904382f-bccc-4ad6-87a1-d7f3748e4574,5DYYS5,MRQA6D,APW 2019-2020 Year 1 Jan,a07e8730-bc2c-4685-8c54-c08c8a53d30e,8dbcbbc7-36d8-4f33-8c17-1b2cdc52c9e7
0caf94b3-cf97-4f46-9c91-02f5b0d3f60a,24195,2020-01-27 21:25:18,2904382f-bccc-4ad6-87a1-d7f3748e4574,JMJV2G,7VRQAP,APW 2019-2020 Year 1 Jan,ddf044b7-cea8-45fe-a9b5-5cee77194e56,36e05161-6b4f-4f9a-973b-30f8bf6033ee
61071636-4d4d-42bf-a86c-9a749dace3f3,23253,2020-01-27 21:25:48,2904382f-bccc-4ad6-87a1-d7f3748e4574,2TXACE,EXHZBR,APW 2019-2020 Year 1 Jan,9a3e0b9d-2799-4190-9c33-24ffdb5f398e,f34aab5d-f7e4-46c9-b75c-4479a062078a
20ed57cb-5fbf-42fd-81f2-5f96e8772b84,18003,2020-01-27 21:26:06,2904382f-bccc-4ad6-87a1-d7f3748e4574,JMJV2G,WNC7NY,APW 2019-2020 Year 1 Jan,ddf044b7-cea8-45fe-a9b5-5cee77194e56,5aef5817-4ea4-4f7a-9dff-ab42f0d86019
26529ff8-430b-46f3-b587-7ff31d0e50ac,29160,2020-01-27 21:28:21,2904382f-bccc-4ad6-87a1-d7f3748e4574,PCQMJF,HSY7UV,APW 2019-2020 Year 1 Jan,dbf15b28-c563-4ff5-80c4-dd173a929070,250b6b3f-f238-4d1a-b838-ec984ffec562
46226ba1-8f10-4ab0-b990-d12b143acb6b,14372,2020-01-27 21:28:35,2904382f-bccc-4ad6-87a1-d7f3748e4574,KZR3QS,QVYPKF,APW 2019-2020 Year 1 Jan,07f7cd8f-2445-483e-9e38-7c963f47adfb,c4e2ddec-c499-43b7-a687-a553c3432aa4
